,movie_name,Directed by,Story by,Based on,Produced by,Starring,Music by,Productioncompany,Distributed by,Release dates,Running time,Country,Language,Budget,Box office,Narrated by,Cinematography,Release date,Written by,Edited by,Screenplay by,Countries,Productioncompanies
402,Beverly Hills Chihuahua 3: Viva la Fiesta!,['Lev L. Spiro'],,['Jeff Bushell'],['David Hoberman'],"['George Lopez', 'Odette Annable', 'Logan Grove', 'Emily Osment']",['Heitor Pereira'],['Walt Disney Pictures'],['Walt Disney StudiosHome Entertainment'],,['89 minutes'],['United States'],['English'],,['$12.2 million (DVD sales)[1]'],,['Greg Gardiner'],"['\nSeptember\xa018,\xa02012\xa0(2012-09-18)\n']",['Dana Starfield'],['Matthew Colonna'],,,
403,Frankenweenie (2012 film),['Tim Burton'],,['Frankenweenie'],['Allison Abbate'],"[""Catherine O'Hara"", 'Martin Short', 'Martin Landau', 'Charlie Tahan', 'Atticus Shaffer', 'Winona Ryder']",['Danny Elfman'],,['Walt Disney StudiosMotion Pictures'],"['Fantastic Fest', 'United States']",['87 minutes[1]'],['United States'],['English'],['$39 million[2]'],['$81.5 million[2]'],,['Peter Sorg'],,,['Chris Lebenzon'],['John August'],,"['Walt Disney Pictures', 'Tim Burton Productions']"
404,Secret of the Wings,['Peggy Holmes'],,"['Tinker Bell', 'J. M. Barrie']",['Makul Wigert'],"['Mae Whitman', 'Lucy Hale', 'Lucy Liu', 'Raven-Symoné', 'Megan Hilty', 'Timothy Dalton']",['Joel McNeely'],"['DisneyToon Studios', 'DisneyToon Studios[1]']","['Walt Disney StudiosHome Entertainment', 'Walt Disney StudiosMotion Pictures']","['\nAugust\xa016,\xa02012\xa0(2012-08-16) (Ukraine)\nAugust\xa031,\xa02012\xa0(2012-08-31) (United States (limited))\nOctober\xa023,\xa02012\xa0(2012-10-23) (DVD release)\n']",['75 minutes[1]'],['United States[1]'],['English'],['$30—35 million[2]'],['$67.5 million[3]'],['Anjelica Huston'],,,,['Mark Rosenbaum'],['\nBobs Gannaway\nPeggy Holmes\nRyan Rowe\nTom Rogers\n'],,
405,Wreck-It Ralph,['Rich Moore'],['Jim Reardon'],,['Clark Spencer'],"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer', 'Jane Lynch']",['Henry Jackman'],,['Walt Disney Studios Motion Pictures'],"['El Capitan Theatre', 'October\xa029,\xa02012\xa0(2012-10-29) (El Capitan Theatre[2])\nNovember\xa02,\xa02012\xa0(2012-11-02) (United States)']","['101 minutes[3][4]', '101 minutes[3][4]']",['United States'],['English'],['$165\xa0million[5]'],['$496.5 million[6]'],,['Rob Dressel'],,,['Tim Mertens'],"['Phil Johnston', 'Phil Johnston[1]Jennifer Lee[1]', 'Jennifer Lee', 'Phil Johnston[1]Jennifer Lee[1]']",,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
406,Oz the Great and Powerful,['Sam Raimi'],['Mitchell Kapner'],"['Oz', 'L. Frank Baum']",['Joe Roth'],"['James Franco', 'Mila Kunis', 'Rachel Weisz', 'Michelle Williams', 'Zach Braff', 'Bill Cobbs', 'Joey King', 'Tony Cox']",['Danny Elfman'],,['Walt Disney StudiosMotion Pictures'],['El Capitan Theatre'],['130 minutes[1]'],['United States'],['English'],"['$215 million[2][3]', '$215 million[2][3]']",['$493.3 million[4]'],,['Peter Deming'],,,['Bob Murawski'],['David Lindsay-Abaire'],,"['Walt Disney Pictures', 'Roth Films']"
407,Wings of Life,['Louis Schwartzberg'],,,['Grady CandlerAlix Tidmarsh'],,['Bliss'],,"['Walt Disney Studios Motion Pictures France', 'Walt Disney Studios Home Entertainment']",['\n16\xa0March\xa02011\xa0(2011-03-16) (France)\n16\xa0April\xa02013\xa0(2013-04-16) (United States)\n'],['77 minutes'],,,,,"['Mélanie Laurent', 'Meryl Streep']",,,,['Jonathan P. Shaw'],,['FranceUnited States'],"['Walt Disney Pictures', 'Disneynature', 'Blacklight Films']"
408,Monsters University,['Dan Scanlon'],['\nDan Scanlon\nDan Gerson\nRobert L. Baird\n'],,['Kori Rae'],"['Billy Crystal', 'John Goodman', 'Steve Buscemi', 'Helen Mirren', 'Peter Sohn', 'Joel Murray', 'Sean Hayes', 'Dave Foley', 'Charlie Day', 'Nathan Fillion']",['Randy Newman'],,['Walt Disney StudiosMotion Pictures'],['BFI Southbank'],['104 minutes'],['United States'],['English'],"['$200\xa0million[1][2][3]', '$200\xa0million[1][2][3]', '$200\xa0million[1][2][3]']",['$743.6\xa0million[4]'],,['\nMatt Aspbury (camera)\nJean-Claude Kalache (lighting)\n'],,,['Greg Snyder'],['Dan Gerson'],,"['Walt Disney Pictures', 'Pixar Animation Studios']"
409,The Lone Ranger (2013 film),['Gore Verbinski'],['\nTed Elliott\nTerry Rossio\nJustin Haythe\n'],"['Lone Ranger', 'Fran Striker', 'George W. Trendle']",['Jerry Bruckheimer'],"['Johnny Depp', 'Armie Hammer', 'Tom Wilkinson', 'William Fichtner', 'Barry Pepper', 'James Badge Dale', 'Helena Bonham Carter']",['Hans Zimmer'],,['Walt Disney StudiosMotion Pictures'],['Hyperion Theatre'],['149 minutes[1]'],['United States'],['English'],['$225–250 million[2]'],['$260.5 million[3]'],,['Bojan Bazelli'],,,"['James Haygood', 'Craig Wood']","['Justin Haythe', 'Ted Elliott', 'Terry Rossio']",,"['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Infinitum Nihil']"
410,Planes (film),['Klay Hall'],['John Lasseter'],,['Traci Balthazor-Flynn'],"['Dane Cook', 'Stacy Keach', 'Priyanka Chopra', 'Teri Hatcher', 'Brad Garrett', 'Julia Louis-Dreyfus', 'Roger Craig Smith', 'John Cleese', 'Carlos Alazraqui', 'Anthony Edwards', 'Sinbad', 'Val Kilmer']",['Mark Mancina'],,['Walt Disney StudiosMotion Pictures'],['EAA AirVenture Oshkosh'],['92 minutes[1]'],['United States'],['English'],['$50 million[2]'],['$240.2 million[2]'],,,,,['Jeremy Milton'],['Jeffrey M. Howard'],,"['Walt Disney Pictures', 'Disneytoon Studios']"
411,Super Buddies (film),['Robert Vince'],,['Charactersby Paul TamasyAaron MendelsohnKevin DiCiccoRobert VinceAnna McRoberts'],['Anna McRobertsRobert Vince'],"['John Ratzenberger', 'Jay Brazeau', 'Jason Earles', 'Jonathan Morgan Heit', 'Harley Graham', 'Jake Brennan']",['Brahm Wenger'],,['Walt Disney Studios Home Entertainment'],,['81 minutes'],['United States'],['English'],,,,['Mark Irwin'],"['\nAugust\xa027,\xa02013\xa0(2013-08-27)\n']",['Anna McRobertsRobert Vince'],['Kelly Herron'],,,"['Walt Disney Pictures', 'Key Pix Productions']"
412,Frozen (2013 film),"['Chris Buck', 'Jennifer Lee']",['\nChris Buck\nJennifer Lee\nShane Morris\n'],"['The Snow Queen', 'Hans Christian Andersen', '""The Snow Queen""by Hans Christian Andersen[1]']",['Peter Del Vecho'],"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff', 'Josh Gad', 'Santino Fontana']",['Christophe Beck'],,['Walt Disney StudiosMotion Pictures'],"['El Capitan Theatre', 'November\xa019,\xa02013\xa0(2013-11-19) (El Capitan Theatre)[2]\nNovember\xa022,\xa02013\xa0(2013-11-22) (limited release)[3]\nNovember\xa027,\xa02013\xa0(2013-11-27) (United States)[4]', 'November\xa019,\xa02013\xa0(2013-11-19) (El Capitan Theatre)[2]\nNovember\xa022,\xa02013\xa0(2013-11-22) (limited release)[3]\nNovember\xa027,\xa02013\xa0(2013-11-27) (United States)[4]', 'November\xa019,\xa02013\xa0(2013-11-19) (El Capitan Theatre)[2]\nNovember\xa022,\xa02013\xa0(2013-11-22) (limited release)[3]\nNovember\xa027,\xa02013\xa0(2013-11-27) (United States)[4]']",['102 minutes[5]'],['United States'],['English'],"['$150 million[6][7]', '$150 million[6][7]']",['$1.280 billion[7]'],,['Scott Beattie (layout)Mohit Kallianpur (lighting)'],,,['Jeff Draheim'],['Jennifer Lee'],,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
413,Saving Mr. Banks,['John Lee Hancock'],,,['Alison Owen'],"['Emma Thompson', 'Tom Hanks', 'Paul Giamatti', 'Jason Schwartzman', 'Bradley Whitford', 'Colin Farrell']",['Thomas Newman'],,"['Walt Disney StudiosMotion Pictures', 'Walt Disney StudiosMotion Pictures[2]']",['BFI London Film Festival'],['125 minutes[3]'],,['English'],"['$35 million[4][5]', '$35 million[4][5]']",['$117.9 million[5]'],,['John Schwartzman'],,"['Kelly Marcel', 'Sue Smith']",['Mark Livolsi'],,['AustraliaUnited KingdomUnited States'],"['Walt Disney Pictures', 'Walt Disney Pictures[1]Ruby Films[2]Essential Media and Entertainment[2]BBC Films[2]Hopscotch Features[2]', 'Walt Disney Pictures[1]Ruby Films[2]Essential Media and Entertainment[2]BBC Films[2]Hopscotch Features[2]', 'Essential Media and Entertainment', 'Walt Disney Pictures[1]Ruby Films[2]Essential Media and Entertainment[2]BBC Films[2]Hopscotch Features[2]', 'BBC Films', 'Walt Disney Pictures[1]Ruby Films[2]Essential Media and Entertainment[2]BBC Films[2]Hopscotch Features[2]', 'Hopscotch Features', 'Walt Disney Pictures[1]Ruby Films[2]Essential Media and Entertainment[2]BBC Films[2]Hopscotch Features[2]']"
414,Muppets Most Wanted,['James Bobin'],,['Muppet characters and properties'],"['David Hoberman', 'Todd Lieberman']","['Ricky Gervais', 'Ty Burrell', 'Tina Fey', 'Steve Whitmire', 'Eric Jacobson', 'Dave Goelz', 'Bill Barretta', 'David Rudman', 'Matt Vogel', 'Peter Linz']","['Christophe Beck', 'Bret McKenzie']",,"['Walt Disney Studios Motion Pictures', 'Walt Disney Studios Motion Pictures[3]']",['El Capitan Theatre'],['107 minutes'],['United States'],['English'],"['$50 million[4][5]', '$50 million[4][5]']",['$80.4 million[5]'],,['Don Burgess'],,['Nicholas Stoller'],['James Thomas[1]'],,,"['Walt Disney Pictures', 'Walt Disney Pictures[2]Mandeville Films', 'Mandeville Films']"
415,The Pirate Fairy,['Peggy Holmes'],['John Lasseter'],"['Peter and Wendy', 'J. M. Barrie']",['Jenni Magee-Cook'],"['Mae Whitman', 'Christina Hendricks', 'Tom Hiddleston', 'Lucy Liu', 'Raven-Symoné', 'Megan Hilty', 'Pamela Adlon', 'Anjelica Huston']",['Joel McNeely'],,['Walt Disney Studios Home Entertainment'],"['February\xa013,\xa02014\xa0(2014-02-13) (Denmark)[2]\nApril\xa01,\xa02014\xa0(2014-04-01) (United States)[3]', 'February\xa013,\xa02014\xa0(2014-02-13) (Denmark)[2]\nApril\xa01,\xa02014\xa0(2014-04-01) (United States)[3]']",['78 minutes[2]'],['United States[1]'],['English'],,['$63.9 million[2]'],,,,,['Anna Catalano'],['Jeffrey M. HowardKate Kondell'],,"['Disneytoon Studios', 'Disneytoon Studios[1]\nPrana Studios[1]', 'Prana Studios', 'Disneytoon Studios[1]\nPrana Studios[1]']"
416,Bears (film),"['Alastair Fothergill', 'Keith Scholey']",,,,,['George Fenton'],,['Walt Disney Studios Motion Pictures'],,['77 minutes'],['United States'],['English'],['$5 million[3]'],['$21.3 million[4]'],"['John C. Reilly', 'John C. Reilly[1]']",,"['\nApril\xa018,\xa02014\xa0(2014-04-18) (United States)\n']",['Adam Chapman'],,,,"['Disneynature', 'Disneynature\nSilverback Films[2]']"
417,Million Dollar Arm,['Craig Gillespie'],,,"['Joe Roth', 'Mark Ciardi']","['Jon Hamm', 'Aasif Mandvi', 'Bill Paxton', 'Suraj Sharma', 'Lake Bell', 'Alan Arkin']",['A. R. Rahman'],,['Walt Disney Studios Motion Pictures'],['El Capitan Theatre'],['124 minutes[1]'],['United States'],['\nEnglish\nHindi\n'],['$25 million[2]'],['$40.2 million[3]'],,['Gyula Pados'],,['Tom McCarthy'],['Tatiana S. Riegel'],,,"['Walt Disney Pictures', 'Roth Films']"
418,Maleficent (film),['Robert Stromberg'],,"[""Disney's"", 'Sleeping Beauty', 'Sleeping Beauty', 'Charles Perrault']",['Joe Roth'],"['Angelina Jolie', 'Sharlto Copley', 'Elle Fanning', 'Sam Riley', 'Imelda Staunton', 'Juno Temple', 'Lesley Manville']",['James Newton Howard'],,['Walt Disney Studios Motion Pictures'],['El Capitan Theatre'],['97 minutes'],['United States'],['English'],['$180–263 million[1]'],['$758.5 million[2]'],['Janet McTeer'],['Dean Semler'],,,"['Chris Lebenzon', 'Richard Pearson']",['Linda Woolverton'],,"['Walt Disney Pictures', 'Roth Films']"
419,Planes: Fire & Rescue,['Bobs Gannaway'],,,['Ferrell Barron'],"['Dane Cook', 'Stacy Keach', 'Brad Garrett', 'Teri Hatcher', 'Julie Bowen', 'Ed Harris', 'Regina King', 'Wes Studi', 'Dale Dye']",['Mark Mancina'],,['Walt Disney StudiosMotion Pictures'],['El Capitan Theatre'],['84\xa0minutes[1]'],['United States'],['English'],"['$50\xa0million[2][3]', '$50\xa0million[2][3]']",['$147\xa0million[2]'],,,,['\nBobs Gannaway\nJeffrey M. Howard\n'],['Dan Molina'],,,"['Walt Disney Pictures', 'Disneytoon Studios']"
420,Khoobsurat (2014 film),"['Shashanka Ghosh', 'Shashanka Ghosh[1]']",,,"['Rhea Kapoor', 'Anil Kapoor', 'Siddharth Roy Kapur', 'Rhea KapoorAnil KapoorSiddharth Roy Kapur[1]']","['Sonam Kapoor', 'Fawad Khan', 'Sonam KapoorFawad Khan[2]']","['Sneha Khanwalkar', 'Badshah', 'Amaal Mallik']",,['UTV Motion Pictures'],,['127 minutes'],['India'],['Hindi'],['₹23 crore (US$2.9\xa0million)[4]'],['est. ₹79.43 crore (US$9.9\xa0million)[5]'],,['Tushar Kanti Ray'],['\n19\xa0September\xa02014\xa0(2014-09-19)\n'],['Indira BishtJuhi Chaturvedi'],['Bakul Matiyani'],,,"['Walt Disney Pictures', 'Anil Kapoor Films Company', 'Walt Disney PicturesAnil Kapoor Films Company[3]']"
421,"Alexander and the Terrible, Horrible, No Good, Very Bad Day (film)",['Miguel Arteta'],,"['Alexander and the Terrible, Horrible, No Good, Very Bad Day', 'Judith Viorst']","['Shawn Levy', 'Lisa Henson']","['Steve Carell', 'Ed Oxenbould', 'Jennifer Garner']",['Christophe Beck'],,['Walt Disney StudiosMotion Pictures'],['El Capitan Theatre'],['81 minutes[2]'],['United States'],['English'],['$28 million[3]'],['$100.6 million[4]'],,['Terry Stacey'],,['Rob Lieber[1]'],['Pamela Martin'],,,"['Walt Disney Pictures', '21 Laps Entertainment', 'The Jim Henson Company']"
422,Big Hero 6 (film),"['Don Hall', 'Chris Williams']",,"['Big Hero 6', 'Man of Action']",['Roy Conli'],"['Scott Adsit', 'Ryan Potter', 'Daniel Henney', 'T. J. Miller', 'Jamie Chung', 'Damon Wayans Jr.', 'Genesis Rodriguez', 'James Cromwell', 'Maya Rudolph', 'Alan Tudyk']",['Henry Jackman'],,['Walt Disney StudiosMotion Pictures'],['Tokyo International Film Festival'],"['102 minutes[1][2]', '102 minutes[1][2]']",['United States'],['English'],"['$165\xa0million[3][4]', '$165\xa0million[3][4]']",['$657.8\xa0million[4]'],,['\nRob Dressel (layout)\nAdolph Lusinsky (lighting)\n'],,,['Tim Mertens'],"['Jordan Roberts', 'Daniel Gerson']",,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
423,Into the Woods (film),['Rob Marshall'],,"['Into the Woods', 'Stephen Sondheim']","['John DeLuca', 'Marc Platt']","['Meryl Streep', 'Emily Blunt', 'James Corden', 'Anna Kendrick', 'Chris Pine', 'Tracey Ullman', 'Christine Baranski', 'Johnny Depp']",['Stephen Sondheim'],,"['Walt Disney StudiosMotion Pictures', 'Warner Bros. Pictures', 'Walt Disney StudiosMotion Pictures (North America)Warner Bros. Pictures (International)[1]']",['Ziegfeld Theatre'],['124 minutes[2]'],['United States'],['English'],['$50 million[3]'],['$213.1 million[4]'],['James Corden'],['Dion Beebe'],,,['Wyatt Smith'],['James Lapine'],,"['Walt Disney Pictures', 'Walt Disney Pictures[1]\nWarner Bros. Pictures\nLucamar Productions[1]\nMarc Platt Productions[1]', 'Warner Bros. Pictures', 'Walt Disney Pictures[1]\nWarner Bros. Pictures\nLucamar Productions[1]\nMarc Platt Productions[1]', 'Walt Disney Pictures[1]\nWarner Bros. Pictures\nLucamar Productions[1]\nMarc Platt Productions[1]']"
424,"McFarland, USA",['Niki Caro'],['Bettina Gilois'],,['Mark Ciardi'],"['Kevin Costner', 'Maria Bello', 'Morgan Saylor']",['Antônio Pinto'],,"['Walt Disney StudiosMotion Pictures', 'Walt Disney StudiosMotion Pictures[1]']",['Hollywood'],['129 minutes'],['United States'],['English'],['$17 million[2]'],['$45.7 million[3]'],,['Adam Arkapaw'],,,['David Coulson'],['Bettina Gilois'],,"['Walt Disney Pictures', 'Walt Disney Pictures[1]\nMayhem Pictures[1]', 'Walt Disney Pictures[1]\nMayhem Pictures[1]']"
425,Tinker Bell and the Legend of the NeverBeast,['Steve Loter'],['\nSteve Loter\nTom Rogers\n'],"['Peter and Wendy', 'J. M. Barrie']",['Makul Wigert[1]'],"['Mae Whitman', 'Ginnifer Goodwin', 'Rosario Dawson', 'Lucy Liu', 'Raven-Symoné', 'Megan Hilty']","['Joel McNeely', 'Joel McNeely[2]']",['Disneytoon Studios'],['Walt Disney StudiosHome Entertainment'],"['\nDecember\xa012,\xa02014\xa0(2014-12-12) (United Kingdom)\nJanuary\xa030,\xa02015\xa0(2015-01-30) (United States)\n']",['76 minutes[3]'],['United States'],['English'],,['$31.2 million (non-US box office)[4]'],['Grey Griffin'],['Navneet Verma'],,,['Margaret Hou'],"['Mark McCorkle', 'Robert Schooley']",,
426,Cinderella (2015 American film),['Kenneth Branagh'],,"['Disney', 'Cinderella', 'Cendrillon', 'Charles Perrault']","['Simon Kinberg', 'Allison Shearmur', 'David Barron']","['Cate Blanchett', 'Lily James', 'Richard Madden', 'Stellan Skarsgård', 'Holliday Grainger', 'Derek Jacobi', 'Helena Bonham Carter']",['Patrick Doyle'],,['Walt Disney StudiosMotion Pictures'],['Berlinale'],['106 minutes[1]'],,['English'],"['$90 million[4][5]', '$90 million[4][5]']",['$540.5 million[4]'],,['Haris Zambarloukos'],,,['Martin Walsh'],['Chris Weitz'],"['United States[2]\nUnited Kingdom[3]', 'United States[2]\nUnited Kingdom[3]']","['Walt Disney Pictures', 'Kinberg Genre']"
427,Monkey Kingdom,"['Mark Linfield', 'Alastair Fothergill']",,,['Mark LinfieldAlastair Fothergill'],,"['Harry Gregson-Williams', 'Harry Gregson-Williams[1]']",,['Walt Disney Studios Motion Pictures'],,['82 minutes'],['United States'],['English'],['$5–10 million[3]'],['$17.1 million[4]'],['Tina Fey'],['Martyn ColbeckGavin Thurston'],"['\nApril\xa017,\xa02015\xa0(2015-04-17) (United States)\n']",,['Andy Netley'],,,"['Disneynature', 'Disneynature\nSilverback Films[2]']"
428,Tomorrowland (film),['Brad Bird'],['Jeff Jensen'],"['Walt Disney', 'Tomorrowland']",['Jeffrey Chernov'],"['George Clooney', 'Hugh Laurie', 'Britt Robertson', 'Raffey Cassidy', 'Tim McGraw', 'Kathryn Hahn', 'Keegan-Michael Key']",['Michael Giacchino'],,"['Walt Disney StudiosMotion Pictures', 'Walt Disney StudiosMotion Pictures[2]']",['Disneyland'],['130 minutes[3]'],['United States'],['English'],['$180–190 million[4]'],['$209 million[5]'],,['Claudio Miranda'],,,"['Walter Murch', 'Craig Wood']",['Damon Lindelof'],,"['Walt Disney Pictures', 'Walt Disney Pictures[1]\nA113 Productions[2]', 'Walt Disney Pictures[1]\nA113 Productions[2]']"
429,Inside Out (2015 film),['Pete Docter'],['Ronnie del Carmen'],,['Jonas Rivera'],"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']",['Michael Giacchino'],,['Walt Disney StudiosMotion Pictures'],['Cannes'],['95 minutes'],['United States'],['English'],['$175\xa0million'],['$858.8\xa0million'],,['Patrick Lin'],,,['Kevin Nolting'],"['Meg LeFauve', 'Josh Cooley']",,"['Walt Disney Pictures', 'Pixar Animation Studios']"
430,ABCD 2,"[""Remo D'Souza""]","[""Remo D'Souza""]",,['Siddharth Roy Kapur'],"['Prabhu Deva', 'Varun Dhawan', 'Shraddha Kapoor', 'Lauren Gottlieb', 'Raghav Juyal', 'Punit Pathak', 'Dharmesh Yelande']",['Sachin–Jigar'],['Walt Disney Pictures'],['UTV Motion Pictures'],,['154 minutes'],['India'],['Hindi'],['₹50 crore[1]'],['est. ₹167\xa0crore[1]'],,['Vijay Kumar Arora'],['\n19\xa0June\xa02015\xa0(2015-06-19)\n'],"['Mayur Puri', ""Remo D'Souza"", 'Tushar Hiranandani']",['Manan Ajay Sagar'],,,
431,The Good Dinosaur,['Peter Sohn'],"['Kelsey Mann', 'Bob Peterson', 'Peter Sohn\nErik Benson\nMeg LeFauve\nKelsey Mann\nBob Peterson[1]']",['An original conceptby Bob Peterson'],['Denise Ream'],"['Raymond Ochoa', 'Sam Elliott', 'Anna Paquin', 'A. J. Buckley', 'Steve Zahn', 'Jeffrey Wright', 'Frances McDormand']","['Mychael Danna', 'Jeff Danna']",,['Walt Disney StudiosMotion Pictures'],['Paris'],['94 minutes[3]'],['United States'],['English'],"['$175–200 million[4][5]', '$175–200 million[4][5]']",['$332.2 million[6]'],,"['Mahyar Abousaeedi (camera)[2]\nSharon Calahan (lighting)[2]', 'Sharon Calahan', 'Mahyar Abousaeedi (camera)[2]\nSharon Calahan (lighting)[2]']",,,['Stephen Schaffer'],['Meg LeFauve'],,"['Walt Disney Pictures', 'Pixar Animation Studios']"
432,The Finest Hours (2016 film),['Craig Gillespie'],,"['Michael J. Tougias', 'Casey Sherman']",['\nJim Whitaker\nDorothy Aufiero\n'],"['Chris Pine', 'Casey Affleck', 'Ben Foster', 'Holliday Grainger', 'John Ortiz', 'Eric Bana']",['Carter Burwell'],,"['Walt Disney StudiosMotion Pictures', 'Walt Disney StudiosMotion Pictures[1]']",['TCL Chinese Theatre'],['117 minutes[3]'],['United States'],['English'],"['$70–80 million[4][5]', '$70–80 million[4][5]']",['$52.1 million[6]'],,['Javier Aguirresarobe'],,,['Tatiana S. Riegel'],['Scott Silver'],,"['Walt Disney Pictures', 'Walt Disney Pictures[1]\nWhitaker Entertainment[1]\nRed Hawk Entertainment[2]', 'Walt Disney Pictures[1]\nWhitaker Entertainment[1]\nRed Hawk Entertainment[2]', 'Walt Disney Pictures[1]\nWhitaker Entertainment[1]\nRed Hawk Entertainment[2]']"
433,Zootopia,"['Byron Howard', 'Rich Moore']","['Jim Reardon', 'Jennifer Lee']",,['Clark Spencer'],"['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba', 'Jenny Slate', 'Nate Torrence', 'Bonnie Hunt', 'Don Lake', 'Tommy Chong', 'J. K. Simmons', 'Octavia Spencer', 'Alan Tudyk', 'Shakira']",['Michael Giacchino'],,['Walt Disney StudiosMotion Pictures'],"['\nFebruary\xa013,\xa02016\xa0(2016-02-13) (Belgium)\nMarch\xa04,\xa02016\xa0(2016-03-04) (United States)\n']","['108 minutes[2][3]', '108 minutes[2][3]']",['United States'],['English'],['$150\xa0million[4]'],['$1.025\xa0billion[5]'],,['\nNathan Warner (layout)\nBrian Leach (lighting)\n'],,,['\nFabienne Rawley\nJeremy Milton\n'],"['Jared Bush', 'Phil Johnston', 'Jared Bush\nPhil Johnston[1]']",,"['Walt Disney Pictures', 'Walt Disney Animation Studios']"
434,The Jungle Book (2016 film),['Jon Favreau'],,"['The Jungle Book', 'The Jungle Book[1]by Rudyard Kipling', 'Rudyard Kipling']",['Brigham Taylor'],"['Bill Murray', 'Ben Kingsley', 'Idris Elba', ""Lupita Nyong'o"", 'Scarlett Johansson', 'Giancarlo Esposito', 'Christopher Walken']",['John Debney'],,['Walt Disney StudiosMotion Pictures'],['El Capitan Theatre'],['106 minutes'],['United States[2]'],['English'],"['$175–177 million[3][4]', '$175–177 million[3][4]']",['$966.6 million[5]'],,['Bill Pope'],,,['Mark Livolsi'],['Justin Marks'],,['Walt Disney Pictures']
435,Tini: The Movie,['Juan Pablo Buscarini'],,,['Pablo Bossi'],"['Martina Stoessel', 'Jorge Blanco', 'Mercedes Lambre', 'Clara Alonso', 'Diego Ramos', 'Sofia Carson', 'Ángela Molina']",['Federico Jusid'],,['Walt Disney Studios Motion Pictures'],"['\nApril\xa023,\xa02016\xa0(2016-04-23) (Amsterdam)\nMay\xa06,\xa02016\xa0(2016-05-06) (Spain)\nMay\xa012,\xa02016\xa0(2016-05-12) (Italy)\nJune\xa02,\xa02016\xa0(2016-06-02) (Argentina)\n']",['99 minutes[1]'],,['Spanish'],,['$17 million[2]'],,['Josu Inchaustegui'],,['Ramón Salazar'],['Pablo Mari'],,['\nArgentina\nSpain\nItaly\n'],"['Walt Disney Pictures', 'Buena Vista InternationalLatin America', 'The Walt Disney Company Latin America']"
436,Alice Through the Looking Glass (2016 film),['James Bobin'],,"['Characters', 'Lewis Carroll']","['Joe Roth', 'Suzanne Todd', 'Jennifer Todd', 'Tim Burton']","['Johnny Depp', 'Anne Hathaway', 'Mia Wasikowska', 'Rhys Ifans', 'Helena Bonham Carter', 'Sacha Baron Cohen', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']",['Danny Elfman'],,['Walt Disney StudiosMotion Pictures'],['London'],['113 minutes[1]'],['United States'],['English'],['$170 million[2]'],['$299.5 million[1]'],,['Stuart Dryburgh'],,['Linda Woolverton'],['Andrew Weisblum'],,,"['Walt Disney Pictures', 'Roth Films', 'Tim Burton Productions']"
437,Finding Dory,['Andrew Stanton'],['Andrew Stanton'],,['Lindsey Collins[1]'],"['Ellen DeGeneres', 'Albert Brooks', 'Hayden Rolence', ""Ed O'Neill"", 'Kaitlin Olson', 'Ty Burrell', 'Diane Keaton', 'Eugene Levy']",['Thomas Newman'],,['Walt Disney StudiosMotion Pictures'],['El Capitan Theatre'],['97 minutes[2]'],['United States'],['English'],['$200\xa0million[3]'],['$1.029\xa0billion[4]'],,['\nJeremy Lasky (camera)\nIan Megibben (lighting)\n'],,,['Axel Geddes'],['\nAndrew Stanton\nVictoria Strouse\n'],,"['Walt Disney Pictures', 'Pixar Animation Studios']"
438,The BFG (2016 film),['Steven Spielberg'],,"['The BFG', 'Roald Dahl']","['Frank Marshall', 'Sam Mercer']","['Mark Rylance', 'Ruby Barnhill', 'Penelope Wilton', 'Jemaine Clement', 'Rebecca Hall', 'Rafe Spall', 'Bill Hader']",['John Williams'],,"['Walt Disney StudiosMotion Pictures', 'Walt Disney StudiosMotion Pictures[3] (Worldwide)\nMister Smith Entertainment[3] (EMEA)\nReliance Entertainment (India)[4]', 'Mister Smith Entertainment', 'Walt Disney StudiosMotion Pictures[3] (Worldwide)\nMister Smith Entertainment[3] (EMEA)\nReliance Entertainment (India)[4]', 'EMEA', 'India', 'Walt Disney StudiosMotion Pictures[3] (Worldwide)\nMister Smith Entertainment[3] (EMEA)\nReliance Entertainment (India)[4]']",['Cannes'],['118 minutes[5]'],['United States[6]'],['English'],['$140 million[7]'],['$195.2 million[8]'],,['Janusz Kamiński'],,,['Michael Kahn'],['Melissa Mathison'],,"['Walt Disney Pictures', 'Walt Disney Pictures[1][2]\nAmblin Entertainment\nReliance Entertainment\nWalden Media[3]\nThe Kennedy/Marshall Company', 'Walt Disney Pictures[1][2]\nAmblin Entertainment\nReliance Entertainment\nWalden Media[3]\nThe Kennedy/Marshall Company', 'Amblin Entertainment', 'Reliance Entertainment', 'Walden Media', 'Walt Disney Pictures[1][2]\nAmblin Entertainment\nReliance Entertainment\nWalden Media[3]\nThe Kennedy/Marshall Company', 'The Kennedy/Marshall Company']"
